Validation_Set,Topics,Alpha,Beta,Coherence,Iteration
50% Corpus,2,0.01,0.01,0.414541113,1
50% Corpus,2,0.01,0.31,0.412854296,2
50% Corpus,2,0.01,0.61,0.406784988,3
50% Corpus,2,0.01,0.91,0.406784988,4
50% Corpus,2,0.01,symmetric,0.406784988,5
50% Corpus,2,0.31,0.01,0.399500159,6
50% Corpus,2,0.31,0.31,0.405247483,7
50% Corpus,2,0.31,0.61,0.405247483,8
50% Corpus,2,0.31,0.91,0.39704134,9
50% Corpus,2,0.31,symmetric,0.405247483,10
50% Corpus,2,0.61,0.01,0.429545982,11
50% Corpus,2,0.61,0.31,0.426115497,12
50% Corpus,2,0.61,0.61,0.429545982,13
50% Corpus,2,0.61,0.91,0.429545982,14
50% Corpus,2,0.61,symmetric,0.426115497,15
50% Corpus,2,0.91,0.01,0.438859301,16
50% Corpus,2,0.91,0.31,0.438859301,17
50% Corpus,2,0.91,0.61,0.438859301,18
50% Corpus,2,0.91,0.91,0.438859301,19
50% Corpus,2,0.91,symmetric,0.441441216,20
50% Corpus,2,symmetric,0.01,0.422259838,21
50% Corpus,2,symmetric,0.31,0.429545982,22
50% Corpus,2,symmetric,0.61,0.429811134,23
50% Corpus,2,symmetric,0.91,0.422259838,24
50% Corpus,2,symmetric,symmetric,0.42638179,25
50% Corpus,2,asymmetric,0.01,0.450825283,26
50% Corpus,2,asymmetric,0.31,0.451511391,27
50% Corpus,2,asymmetric,0.61,0.450005195,28
50% Corpus,2,asymmetric,0.91,0.455104829,29
50% Corpus,2,asymmetric,symmetric,0.450005195,30
50% Corpus,3,0.01,0.01,0.434556527,31
50% Corpus,3,0.01,0.31,0.419010125,32
50% Corpus,3,0.01,0.61,0.424886258,33
50% Corpus,3,0.01,0.91,0.415584757,34
50% Corpus,3,0.01,symmetric,0.417945052,35
50% Corpus,3,0.31,0.01,0.433533809,36
50% Corpus,3,0.31,0.31,0.447177102,37
50% Corpus,3,0.31,0.61,0.455555206,38
50% Corpus,3,0.31,0.91,0.488220255,39
50% Corpus,3,0.31,symmetric,0.442926901,40
50% Corpus,3,0.61,0.01,0.47954807,41
50% Corpus,3,0.61,0.31,0.447187202,42
50% Corpus,3,0.61,0.61,0.461792557,43
50% Corpus,3,0.61,0.91,0.475444028,44
